node_type_from,node_id_from,edge_type,node_type_to,node_id_to,attributes
trial,NCT01896908,PRESPECIFIES,outcome_specified,Daily perception of thirst,"{""time_frame"": ""Seven days or hospital discharge""}"
trial,NCT01896908,PRESPECIFIES,outcome_specified,Readmission rate at 30 days,"{""time_frame"": ""Patients shall be followed for 30 days after discharge.""}"
trial,NCT01914315,TESTS,intervention_class,Other,{}
trial,NCT01914315,PRESPECIFIES,outcome_specified,Combined primary endpoint,"{""time_frame"": ""12 months following randomization""}"
trial,NCT01914315,PRESPECIFIES,outcome_specified,Secondary endpoint - change in functional capacity and clinical status,"{""time_frame"": ""3 and 6 month follow-up after randomization""}"
trial,NCT01914315,PRESPECIFIES,outcome_specified,All cause mortality end-point,"{""time_frame"": ""12 months after randomization""}"
trial,NCT01914315,PRESPECIFIES,outcome_specified,Heart failure hospitalizations,"{""time_frame"": ""12 months after randomization""}"
trial,NCT02256345,TESTS,intervention_class,Other,{}
trial,NCT02256345,COMPARES,comparator_class,Placebo/SoC,{}
trial,NCT02256345,PRESPECIFIES,outcome_specified,Change in Peak Oxygen Uptake (VO2) From Baseline Upto 1 Week of Administration for Each Dose,"{""time_frame"": ""Baseline, end of week 1, end of week 2""}"
trial,NCT02256345,PRESPECIFIES,outcome_specified,Change in Vasodilatory Reserve for Each Dose,"{""time_frame"": ""Baseline, end of week 1, end of week 2""}"
trial,NCT02256345,PRESPECIFIES,outcome_specified,Change in Mitochondrial Oxidative Capacity for Each Dose,"{""time_frame"": ""Baseline, end of week 1, end of week 2""}"
trial,NCT02256345,PRESPECIFIES,outcome_specified,Change in Aortic Augmentation Index,"{""time_frame"": ""Baseline, end of week 1, end of week 2""}"
trial,NCT02256345,HAS_RESULTS_POSTED,report_artifact,CTGOV_RESULTS_POSTED,{}
trial,NCT02693002,TESTS,intervention_class,Other,{}
trial,NCT02693002,COMPARES,comparator_class,Placebo/SoC,{}
trial,NCT02693002,PRESPECIFIES,outcome_specified,Diastolic Function Assessed by Echocardiography,"{""time_frame"": ""Baseline and 12 weeks""}"
trial,NCT02693002,PRESPECIFIES,outcome_specified,Activity Level Assessed by Duke Activity Status Index (DASI),"{""time_frame"": ""Baseline and 12 weeks""}"
trial,NCT02693002,PRESPECIFIES,outcome_specified,Quality of Life Score Assessed by Utian Quality of Life Scale (UQoLS),"{""time_frame"": ""Baseline and 12 weeks""}"
trial,NCT02693002,PRESPECIFIES,outcome_specified,B-type Natriuretic Peptide (BNP) Levels,"{""time_frame"": ""Baseline and 12 weeks""}"
trial,NCT02693002,HAS_RESULTS_POSTED,report_artifact,CTGOV_RESULTS_POSTED,{}
trial,NCT01901809,TESTS,intervention_class,Other,{}
trial,NCT01901809,PRESPECIFIES,outcome_specified,Percent Change in Serum Creatinine at 72 Hours.,"{""time_frame"": ""72 hours""}"
trial,NCT01901809,PRESPECIFIES,outcome_specified,Percent Change in Serum Creatinine at 72 Hours - Continuous vs Intermittent Diuretic,"{""time_frame"": ""72 hours""}"
trial,NCT01901809,PRESPECIFIES,outcome_specified,Percent Change in Serum Creatinine at 72 Hours - Dopamine vs No Dopamine,"{""time_frame"": ""72 hours""}"
trial,NCT01901809,HAS_RESULTS_POSTED,report_artifact,CTGOV_RESULTS_POSTED,{}
trial,NCT02078947,TESTS,intervention_class,Other,{}
trial,NCT02078947,COMPARES,comparator_class,Placebo/SoC,{}
trial,NCT02078947,PRESPECIFIES,outcome_specified,Change in Peak VO2 after three months,"{""time_frame"": ""Baseline and three months""}"
trial,NCT02078947,PRESPECIFIES,outcome_specified,Change in E/e' (representing diastolic filling pressure) at baseline and three months,"{""time_frame"": ""three months""}"
trial,NCT02078947,PRESPECIFIES,outcome_specified,Change in E/e' at baseline and 12 months,"{""time_frame"": ""12 months""}"
trial,NCT02078947,PRESPECIFIES,outcome_specified,Change in Peak VO2 at baseline and 12 months,"{""time_frame"": ""12 months""}"
trial,NCT02078947,PRESPECIFIES,outcome_specified,Change in NTproBNP at baseline and three months,"{""time_frame"": ""three months""}"
trial,NCT02078947,PRESPECIFIES,outcome_specified,Change in NTproBNP at baseline and 12 months,"{""time_frame"": ""12 months""}"
trial,NCT02078947,PRESPECIFIES,outcome_specified,Change in health related quality of life at baseline and three months,"{""time_frame"": ""three months""}"
trial,NCT02078947,PRESPECIFIES,outcome_specified,Change in health related Quality of life at baseline and 12 months,"{""time_frame"": ""12 months""}"
trial,NCT02078947,PRESPECIFIES,outcome_specified,Change in Left Atrial Volume Index (LAVI) at baseline and three months,"{""time_frame"": ""three months""}"
trial,NCT02078947,PRESPECIFIES,outcome_specified,Change in Left Atrial Volume Index (LAVI) at baseline and 12 months,"{""time_frame"": ""12 months""}"
trial,NCT02078947,PRESPECIFIES,outcome_specified,Change in e' medial at baseline and three months,"{""time_frame"": ""three months""}"
trial,NCT02078947,PRESPECIFIES,outcome_specified,Change in e' at baseline and 12 months,"{""time_frame"": ""12 months""}"
trial,NCT02078947,PRESPECIFIES,outcome_specified,Change in submaximal exercise capacity at baseline and three months,"{""time_frame"": ""three months""}"
trial,NCT02078947,PRESPECIFIES,outcome_specified,Change in submaximal exercise capacity at baseline and 12 months,"{""time_frame"": ""12 months""}"
trial,NCT02078947,PRESPECIFIES,outcome_specified,Change in VE/VCO2 slope at baseline and three months,"{""time_frame"": ""three months""}"
trial,NCT02078947,PRESPECIFIES,outcome_specified,Change in VE/VCO2 slope at baseline and 12 months,"{""time_frame"": ""12 months""}"
trial,NCT02078947,PRESPECIFIES,outcome_specified,Change in Flow Mediated Dilation (FMD) at baseline and three months,"{""time_frame"": ""three months""}"
trial,NCT02078947,PRESPECIFIES,outcome_specified,Change in Flow Mediated Dilation (FMD) at baseline and 12 months,"{""time_frame"": ""12 months""}"
trial,NCT02173548,TESTS,intervention_class,Other,{}
trial,NCT02173548,COMPARES,comparator_class,Placebo/SoC,{}
trial,NCT02173548,PRESPECIFIES,outcome_specified,Change in Aerobic Exercise Capacity,"{""time_frame"": ""Baseline to 12 weeks""}"
trial,NCT02173548,PRESPECIFIES,outcome_specified,Change in Ventilatory Eefficiency,"{""time_frame"": ""Baseline to 12 weeks""}"
trial,NCT02173548,PRESPECIFIES,outcome_specified,Echocardiographic Assessment of Diastolic and Systolic Function (Left Ventricular Ejection Fraction),"{""time_frame"": ""12 weeks""}"
trial,NCT02173548,PRESPECIFIES,outcome_specified,Change in Diastolic and Contractile Reserve (e' Velocity and E/e' Ratio),"{""time_frame"": ""Baseline to 12 weeks""}"
trial,NCT02173548,PRESPECIFIES,outcome_specified,Change in Inflammation (C Reactive Protein Levels),"{""time_frame"": ""Baseline to 12 weeks""}"
trial,NCT02173548,PRESPECIFIES,outcome_specified,Change in Quality of Life Questionnaire-Minnesota Living With Heart Failure Questionnaire (MLWHF),"{""time_frame"": ""Baseline to 24 weeks""}"
trial,NCT02173548,PRESPECIFIES,outcome_specified,Change in Quality of Life Questionnaire-Duke Activity Status Index (DASI),"{""time_frame"": ""Baseline to 12 weeks""}"
trial,NCT02173548,PRESPECIFIES,outcome_specified,Hospital Admission for Acute Decompensated Heart Failure,"{""time_frame"": ""24 weeks""}"
trial,NCT02173548,HAS_RESULTS_POSTED,report_artifact,CTGOV_RESULTS_POSTED,{}
trial,NCT02524145,TESTS,intervention_class,Other,{}
trial,NCT02524145,PRESPECIFIES,outcome_specified,Cardiac Beta-receptor Sensitivity,"{""time_frame"": ""1 day; primary outcome was complete for each subject in 1 day""}"
trial,NCT02524145,PRESPECIFIES,outcome_specified,Central Command Regulation of Heart Rate,"{""time_frame"": ""1 day; primary outcome was complete for each subject in 1 day""}"
trial,NCT02524145,HAS_RESULTS_POSTED,report_artifact,CTGOV_RESULTS_POSTED,{}
trial,NCT02537041,TESTS,intervention_class,Other,{}
trial,NCT02537041,PRESPECIFIES,outcome_specified,myocardial stiffness ( measured by kPa),"{""time_frame"": ""18 months""}"
trial,NCT02638961,TESTS,intervention_class,Other,{}
trial,NCT02638961,PRESPECIFIES,outcome_specified,Functional capacity measured as peak oxygen uptake (peak VO2) in ml/min/kg .,"{""time_frame"": ""changes at 12 weeks and 6 months""}"
trial,NCT02638961,PRESPECIFIES,outcome_specified,Functional capacity measured as distance walked in 6 minutes,"{""time_frame"": ""changes at 12 weeks and 6 months""}"
trial,NCT02638961,PRESPECIFIES,outcome_specified,Change in echocardiographic parameter of diastolic disfunction: e' septal (cm/s),"{""time_frame"": ""changes in rest at 12 weeks and 6 months""}"
