nct_id,outcome_domain,time_frame,time_months,module_path,group_id,arm_group_name,arm_role,arm_class,arm_label,subjects_with_sae,event_count,denominator,count_type,is_event_count,is_incomplete,source_url
NCT03037580,SAE,The Treatment Phase was 24 weeks for each subject. The study was discontinued by the Sponsor on 14 October 2019 due to slow enrollment.,5.523590333716917,resultsSection.adverseEventsModule,EG001,Placebo,comparator,Placebo/SoC,placebo,2,,43,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03037580
NCT03057951,SAE,"[All-cause Mortality]: From study start until end of study, up to 1438 days. [Serious adverse events (AE) and other AE]:From time of the first drug intake until 7 days (Residual Effect Period) after the last drug intake, up to 1410 days.",47.24435318275154,resultsSection.adverseEventsModule,EG001,10 mg Empagliflozin,treatment,SGLT2 inhibitors,empagliflozin,448,,2996,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03057951
NCT03057951,SAE,"[All-cause Mortality]: From study start until end of study, up to 1438 days. [Serious adverse events (AE) and other AE]:From time of the first drug intake until 7 days (Residual Effect Period) after the last drug intake, up to 1410 days.",47.24435318275154,resultsSection.adverseEventsModule,EG000,Placebo,comparator,Placebo/SoC,placebo,594,,2989,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03057951
NCT03066804,SAE,"Adverse events were collected from first dose of study treatment until end of study treatment plus 30 days post treatment, up to maximum duration of approx. 2 years.",24.0,resultsSection.adverseEventsModule,EG001,Individualized Medical Therapy (IMT),treatment,ARNI,individualized medical therapy (imt),31,,1284,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03066804
NCT03066804,SAE,"Adverse events were collected from first dose of study treatment until end of study treatment plus 30 days post treatment, up to maximum duration of approx. 2 years.",24.0,resultsSection.adverseEventsModule,EG000,Sacubitril/Valsartan (LCZ696),treatment,ARNI,sacubitril/valsartan,21,,1280,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03066804
NCT03066804,SAE,"Adverse events were collected from first dose of study treatment until end of study treatment plus 30 days post treatment, up to maximum duration of approx. 2 years.",24.0,resultsSection.adverseEventsModule,EG002,Total,treatment,ARNI,total,52,,2564,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03066804
NCT03098979,SAE,From start of study drug administration up to 26 weeks,5.983889528193326,resultsSection.adverseEventsModule,EG002,Neladenoson Bialanate 10mg,treatment,Other,neladenoson bialanate 10mg,3,,50,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03098979
NCT03098979,SAE,From start of study drug administration up to 26 weeks,5.983889528193326,resultsSection.adverseEventsModule,EG003,Neladenoson Bialanate 20mg,treatment,Other,neladenoson bialanate 20mg,4,,51,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03098979
NCT03098979,SAE,From start of study drug administration up to 26 weeks,5.983889528193326,resultsSection.adverseEventsModule,EG004,Neladenoson Bialanate 30mg,treatment,Other,neladenoson bialanate 30mg,2,,50,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03098979
NCT03098979,SAE,From start of study drug administration up to 26 weeks,5.983889528193326,resultsSection.adverseEventsModule,EG005,Neladenoson Bialanate 40mg,treatment,Other,neladenoson bialanate 40mg,7,,51,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03098979
